doi,sentence
10/1039_d0ta03571h_tinbased_ionic_chaperone_phases_to,"Thus, increasing the starting Sn thickness effectively decreased the interfacial resistance of the Na-NaSICON interface after cycling."
10/1021_acsaem_0c01614_sodium_storage_mechanism_investigations_through,"The tests were performed in a three electrode-cell configuration having 10 mm diameter of electrode (here hard carbon, the loading of electrode active materials on current collector was ranging from 2-4.5 mg/cm 2 ) as the working electrode and of sodium metal as the counter (12 mm diameter) and reference electrodes."
10/1039_d2ra05514g_development_of_vang_danh_anthracite,"Even though the performance of anthracite is still inferior to commercial hard carbon, anthracite can be a prospective anode not only for Na-ion batteries but also for Li-ion batteries."
10/1038_s41598_018_28310_3_ndoped_catalytic_graphitized_hard_carbon,"Owing to the catalytic graphitization of Co and the introduction of nitrogen-functional groups, the hard carbon shows structural merits of ordered expanded graphitic layers, hierarchical porous channels, and large surface area."
10/1039_c9cp00267g_firstprinciples_study_of_nasubxsubtiosub2sub_with,"Therefore, regarding the electrode voltage, it is revealed that TB-I, -III, and -IV phases are favorable to SIB anode application, whereas TB-II phase may have relatively low specific capacity and exhibit serious safety issue of dendrite growth."
10/1039_d5sc04575d_rational_phosphating_layer_design_in,"This indicates that the bonding of red phosphorus with hard carbon has expanded the interlayer spacing of graphite crystallites, which is benecial for the rapid insertion and extraction of Na + in phosphated hard carbon. 28,29 Fig. 1d depicts the Raman spectra of several hard carbon samples, and Fig."
10/54097_hset_v43i_7460_sodiumion_batteries_exploration_of_electrolyte,"This paper will focus on the electrolyte materials for SIBs, and the objective is to find electrolyte materials suitable for sodium-ion batteries applied in different scenarios."
10/1039_d0ta03571h_tinbased_ionic_chaperone_phases_to,"The addition of a Sn coating to the NaSICON separator in an uncycled cell not only decreases the semicircle diameter by an order of magnitude, but also lowers the Z'-axis offset by more than a factor of two."
10/1021_acsaem_0c01614_sodium_storage_mechanism_investigations_through,"To understand the difference in intercalation behaviour for the different hard carbon samples with varying graphitic interlayer distance, a double layer planar graphitic model was employed."
10/1039_d3ta02291a_exploring_lowcost_high_energy_nasicon,We then attempted to synthesize these compounds and characterize the electrochemical properties for SIB applications.
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,These findings highlight the structural robustness with higher potential of Ge as an SIB anode.
10/1038_s41560_017_0014_y_highperformance_sodiumorganic_battery_by_realizing,"Here, we reveal the origin of the limited electrochemical perfor mance of Na 2 C 6 O 6 and provide an effective path to achieve revers ible four-sodium storage."
10/1039_d1cp00610j_insights_into_the_sodiation_mechanism,"However, the analysis of complex and less defined mechanisms-such as ones related to the sodium storage in hard carbons-should be kept as free from models and assumptions as possible."
10/1038_s41467_025_58637_1_highenergy_and_longlife_o3type_layered,"In contrast, the uneven phase transition and kinetic differences in NFMMT lead to significant Na-ion concentration gradients, particularly pronounced in the phase transition region (charged to ~3.0 and 4.2 V)."
10/1039_d2cp01156e_sodium_to_cesium_ions_a,"Recently, we introduced the concept of a ladder mechanism to describe how sodium ions inside a PBA crystal structure diffuse by climbing the frames formed by aligned cyanide groups in the host structure."
10/1016_j_nanoen_2017_11_077_structuredependent_performance_of_tio2c_as,"Among these materials, rod-in-tube TiO 2 with a uniform carbon coating shows the highest electronic conductivity, specific surface area (336.4 m 2 g -1 ), and porosity, and these factors lead to the best sodium storage capability."
10/1039_d5se00172b_chemically_prelithiatedsodiated_reduced_graphene_oxideantimony,These electrodes were used for evaluating the electrochemical performance of LIB and SIB anodes.
10/3389_fenrg_2022_888321_improving_insitu_sodium_metal_plating,"If the water content is controlled to <10 ppm, remarkable rate capability can be observed in this electrolyte (Ma et al., 2021) in Na||Cu cells, which is a half-cell relevant to sodium-ion anode-free technology."
10/1039_d3sc01453c_threedimensional_heterogeneity_in_liquid_electrolyte,"Additionally, DHCE-PhCF 3 exhibits the best rate performance for both transition metal oxides and phosphate-based cathodes in Na-ion batteries (Fig."
10/1039_d4ee05110f_integrated_polyanionlayered_oxide_cathodes_enabling,"At high current densities exceeding 10C (1C = 300 mA h g À1 ), the capacity of hard carbon significantly decreases."
10/1002_smll_202505200_electrochemical_performance_and_diffusion_kinetics,"In addition to that, the intrinsic anti-site disorder (IASD) caused by the site hopping of Mn 2+ between the TM site and alkali metal (AM) site in the NASICON framework causes a significant voltage hysteresis during the charge/discharge and introduces a notable redox pair: 4.0 V during charge and 2.5 V during discharge, which hampers the energy efficiency ."
10/1021_acsaem_2c03944_molten_sodium_penetration_in_nasicon,"The regions with significant metal accumulation are also regions where current is likely concentrated due to improved Na wetting on the NaSICON surface, explaining why the entire surface does not display this color and microstructure."
10/54097_9y8kjb55_research_progress_on_cathode_materials,The fundamental reason for substitution is that sodium-ion batteries also have very significant shortcomings.
10/1039_d4ra08080g_controllable_synthesis_of_cypressderived_hard,"Different from graphite, hard carbon (HCs) materials with high specic capacities (z300 mA h g -1 ) and excellent cost-effectiveness are considered to be the most feasible anode materials of SIBs for further commercialization. 7 As typical eco-friendly resources, biomass has become a global hot topic of sustainable chemistry due to its great potential for practical application."
10/1007_s40820_025_01742_z_transformative_effect_of_li_salt,"The intercalated Li ion in the Na-ion layer serves as pillar for the transition metal layer during cycling, which suppresses the oxygen release and the lattice collapse from the structural instability."
10/1039_c6ee01750a_structurally_stable_mgdoped_p2nasub23submnsub1ysubmgsubysubosub2sub_sodiumion,"The rate capability of P2-Na 2/3 Mn 0.95 Mg 0.05 O is close to the highest rate performance ever reported for a P2-type cathode, namely, P2-Na 2/3 Mn 1/2 Fe 1/4 Co 1/4 O 2 with a 128 mA h g À1 reversible capacity at a 30C discharge rate."
10/1039_c4ee03361b_highperformance_symmetric_sodiumion_batteries_using,Full batteries containing desodiated and sodiated Na0.8Ni0.4Ti0.6O2 were characterized using CV and galvanostatic cyling.
10/1007_s42452_018_0141_5_structural_effects_on_the_enhancement,Such low surface areas are not compatible with the observed charge capacities of these materials and the insertion of sodium ions.
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,The critical current density (maximum current density before failure) of the Sn-coated NaSICON was evaluated by applying unidirectional current at increasingly high current densities.
10/1039_c6ta04273b_combination_of_solid_state_nmr,"The spectra of desodiated HC-700 and HC-900 showed only major signals of the electrolyte solution and an additional broad component around À9 ppm, explained by ionic sodium compound contained in the solid electrolyte interphase (SEI) on the carbon surface, or non-extractable sodium ions in HC."
10/3389_fenrg_2021_651041_agcoated_cupolylactic_acid_composite_filament,"Furthermore, its ability to be used with negative electrode active material of sodium-ion battery technology in a wide potential window is demonstrated."
10/1007_s40820_019_0291_z_highperformance_naion_storage_of_sdoped,"Clearly, the intensity of the peak corresponding to the C-C bond was reduced after discharging to 0.005 V and then increased after charging to 3 V, indicating that our SCs had good reversibility for Na-ion storage."
10/1007_s40820_025_01742_z_transformative_effect_of_li_salt,"Meanwhile, the cycleability evaluation at half-cell configuration for hard carbon electrode is not ideal because the growth of resistance from the sodium metal significantly affects the cycle performance because the majority of capacity from hard carbon electrode is delivered from low-voltage plateau region, which is highly affected by sodium metal resistance."
10/1021_acsaem_3c00201_impact_of_hard_carbon_properties,"The mechanisms suggesting the closed pore contribution in Na-ion storage have been widely debated in NIBs 67,68 and are still controversial in the K-ion counterpart."
10/1007_s43979_023_00053_9_research_progresses_in_o3type_nifemn,"The cathode material plays a vital role in reversible capacity, energy density and lifespan of sodium ion batteries."
10/3389_fenrg_2019_00028_roles_of_ti_in_electrode,The Na 0.66 [Mn 0.66 Ti 0.34 ]O 2 |NaTi 2 (PO 4 ) 3 /C aqueous sodium-ion cell demonstrates excellent cycle performance with minimal capacity decay after 300 cycles.
10/1039_d3sc03498d_controllable_synthesis_of_a_naenriched,"The spontaneous sodiation reaction enables a fast reduction of one-half V ions from V 3+ to V 2+ , followed by the insertion of one Na + ion into the NASICON framework, which only takes 90 s to obtain the phase-pure Na 4 V 2 (PO 4 ) 3 product."
10/54097_hset_v43i_7460_sodiumion_batteries_exploration_of_electrolyte,Passerini et al. investigated the reactivity of carbonate electrolytes with different sodium salts on the surface of sodium hard carbon (Nax-HC) electrodes by differential scanning calorimetry (DSC) (Figure 2b) .
